"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"choline and or isomers",0.000127641714421874,9.63755548176633e-05,0.000106124429355141,3.29952561552637e-05,3.61885225858585e-05,0.000158740128686856,5.30612797926471e-05,6.69109943004253e-05,6.36970100826504e-05,5.06880967281729e-05,7.83293752441851e-05,5.35542432691928e-05,0.000123874965474082,8.13248199169844e-05,0.000132326678763075,0.000120002670473484,0.00015732118587078,0.000132063651743078,6.78650219924196e-05,0.000101677757031642,5.48659127634414e-05,8.82703548624581e-05,9.64172872562808e-05,5.43210599151435e-05,4.40399391596609e-05,6.73290547192618e-05,3.0729413764775e-05,5.38176305329253e-05,6.16633866135172e-05,0.000108271879681759,0.000127548554734448,0.000131141819327883,9.11183832400067e-05,0.000758802033219806,0.000540754521443774,0.000916133201282331,0.000519192365799042,0.000241283207160544,0.00112679047098654,0.000768148086552772,0.00117393224746298,0.000607851319271131,0.00116960807125955,0.000826985307174724,0.00102695836230416,0.000788848739293748,0.000819134824621407,0.000719017141734625,0.000879380045846033,0.000668567539772908,0.000286137281972136,5.03621243042659e-05,7.46560032172625e-05,3.81233928418021e-05,6.86284512127083e-05,0.000129935820257656,0.000786001786148963,0.000759527806621067,0.00052515363449251,0.000719810701158196,0.00047454376468232,0.000530113738383959,0.000834407239513646,0.000416942937285396,0.00061209555183253,"choline and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"citrulline",0.000106472801753653,4.00871155912872e-05,1.34853026813288e-05,0.000238460107486346,5.6950175035684e-05,2.5113084826847e-05,0.000338450617605429,9.34421190067198e-05,6.57165890726216e-05,0.000409832062888089,0.000403886786761408,7.87983499139213e-05,1.04006520681016e-05,1.02393710859645e-05,7.51861284736895e-06,9.00700155382345e-06,9.31593344300385e-06,0.000215122615203611,0.000114865498310921,2.79550795786355e-05,0.000182920982497072,0.000108440752707448,0.000218920269175216,0.000364742195407138,6.17541842184921e-05,0.000203858653241897,0.00010898231149572,5.12133126799732e-05,0.000446192334861729,1.18856819105959e-05,7.48920847639078e-05,3.42124871730039e-06,2.83002571290311e-05,8.00305962599913e-06,3.15682924834856e-05,1.18218966326617e-05,4.25172129481103e-05,1.22561961490929e-05,4.50382130058275e-05,0.000217138985399543,0.000188344325782694,9.85700374079054e-05,0.000232737927360542,4.68226335499857e-05,0.000167139820187211,2.52739667920352e-05,6.21949744097707e-06,8.59505107213894e-06,3.90828369327516e-05,1.72143973987489e-05,3.5576288749849e-05,2.81361435540031e-05,1.3342019953099e-05,1.02826560119891e-05,1.19435388647993e-05,3.62535133315225e-05,0.000217550389935022,0.000244223720388719,0.000130152884390426,7.79771678087437e-05,7.61405219215097e-05,9.3809532436862e-06,6.03576518056875e-05,8.87314677083049e-06,2.86947310658499e-05,"citrulline","HMDB0000904",NA,NA,NA,NA,NA,NA,"372-75-8",NA,NA,"  8144684",NA,"C00327","16349","DB00155","Citrulline"
"cysteic acid",7.66803336057217e-05,0.000121304677900823,8.25025127513434e-05,9.34839737893839e-05,8.17074118101398e-05,0.000120774347726841,0,4.05102024419781e-06,1.1182858588861e-06,0,2.26709484975155e-07,6.49612162468182e-05,5.76063267462647e-05,5.63459651375446e-05,7.73833347927719e-05,5.57006727131731e-05,6.94918218483594e-05,0.000116969020153328,7.83822438586967e-05,7.36850770217959e-05,0.000101787386533459,0.000124116480907985,0,0,3.7430580208665e-05,7.69030148846925e-05,5.32928649787678e-05,3.49287729367472e-05,5.97269367932165e-05,0.000104069657251128,0.000113896838886233,4.80466606456173e-05,3.65962696223631e-05,0.000196661981568801,0.000380628775735322,0.000211501546491463,0.000780064325781983,0.000470405250539623,0.000339914749464843,0.000190550600648304,0.000149209824134338,0.00018337433119962,0.000205428619871387,0.000155769659809267,0.000164496247067071,0.000463161961769282,0.000844885032956663,0.000545126782547768,0.000625433828927533,0.000806879727616801,6.58935990352107e-05,0.000132546646826938,0.000264531754700539,0.000230428169551743,0.000174372134810635,0.000174013342694128,0.000113886998158932,0.00013100344604731,0.000159398495125296,0.000161629789110357,0.000149410882354523,0.000753475789295007,0.000605054145795752,0.000437301145893362,0.000348414576990854,"cysteic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytidine",0,4.25370906406838e-06,0,0,4.61208705618302e-06,3.84375361721373e-06,0.00051246057083028,0.000310389374991007,0.000289066332448851,0.000178272566752589,3.19871200588542e-05,7.43577545112354e-05,0,2.72504113843441e-06,0,0,0,0,0,1.72429434483329e-05,0,0,0.00139255550368514,0.000265138329029415,7.47424640010396e-05,0.000246689755033075,0.000132545409222092,0.000133064979405551,0.000278456937135434,0,3.24649298761854e-06,0,0,0,8.74740893495302e-06,0,6.56962876378613e-05,7.53498568946331e-06,7.15903735062227e-06,4.62771076020445e-06,1.03535362791413e-05,3.89090569137246e-06,0,4.33229669481116e-06,3.20529649886829e-06,7.07326805163376e-06,4.16264874788579e-06,2.52353028663998e-06,1.16027026691975e-05,2.59822051890249e-06,0,7.65216766517328e-06,7.62616113900801e-06,0,0,1.29657547747112e-05,2.87049271146597e-06,5.91689036983535e-06,1.45089951264852e-06,7.22312400512546e-06,2.80236861609173e-06,5.0872814010647e-06,3.26181430224653e-06,0,0,"cytidine","HMDB0000089","C00475","belongs to the class of organic compounds known as pyrimidine nucleosides. Pyrimidine nucleosides are compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety.","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","","65-46-3",NA,NA,"  8144101",NA,"C00475","17562","DB02097","Cytidine"
"cytidine 2,3-cyclic mono-phosphoric acid",5.47183748287165e-06,2.68074748867045e-05,1.65834014100683e-05,8.12700705577276e-06,2.59064689321659e-05,2.62599641623648e-05,3.54151392450041e-06,1.52570741746031e-05,2.15311900553252e-05,3.02496659808908e-06,1.7498985037396e-06,1.70131851711334e-05,1.59990683494133e-05,1.52919127954671e-05,2.21635116623771e-05,2.16482097132806e-05,2.26287356296177e-05,5.94493790681464e-06,8.90729840090653e-06,1.97963129161859e-05,1.26308781251899e-05,1.17960570874415e-05,3.10846417013885e-05,7.57380218372141e-07,1.9034579220969e-05,4.72421991810497e-06,1.52810526908139e-05,1.60545116941481e-05,1.24422775829284e-05,1.91648723117519e-05,1.00175551639132e-05,1.32092359508958e-05,5.85064869045474e-06,8.93613720359338e-05,2.86397312157736e-05,6.10691663537279e-05,3.74300241251136e-05,9.11876314005413e-05,3.60181731286195e-05,4.35856376993426e-05,3.48402959804476e-05,7.94485323629932e-05,4.20110188157385e-05,6.3437673318079e-05,3.91219097097171e-05,2.84947437314769e-05,6.59673701896438e-05,5.02467918304347e-05,3.54340766805486e-05,6.36060071633832e-05,1.53421812303078e-05,1.32141794317514e-05,4.08814979317376e-05,5.35769455850477e-05,5.10170838206591e-05,3.13411897791186e-05,4.14624873964512e-05,5.29759921027494e-05,8.61895776727178e-05,8.19806762916931e-05,4.04570622558779e-05,6.41504831033933e-05,6.80739471935413e-05,5.67186058894392e-05,3.02324499236375e-05,"cytidine,3-cyclic mono-phosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytosine",0.000412468026428901,0.000196345172760908,0.000850360147101943,0.000807672755706129,0.00024830280637817,0.000279634438975938,0.00123032061811063,0.002507471119093,0.0023625373086189,0.00146472374138902,0.00116748276272061,0.00201931184537975,0.000321973849862948,0.000196149164820202,0.0003207765063909,0.000229603412670442,6.94998637020088e-05,0.000396055940183124,0.000196163281107349,0.000574494124942316,0.000242924927969671,0.000513525050706794,0.00158428172252988,0.000927206532722534,0.00262146220264115,0.00052440235477917,0.00208466059781727,0.00204170493589251,0.00118042176785318,0.000284562418318507,0.000351794211157481,0.000198012789791263,0.00012655992259737,0.00102411233604124,0.00244774848280677,0.00327502425196693,0.000961611854142319,0.0011840759755955,0.00081010921809945,0.00164265720786141,0.00346587474919418,0.00386877109625938,0.00177995122702246,0.00391084375495069,0.00214812888137649,0.00171702086057226,0.00186200103765578,0.00206130533814757,0.00230355527233421,0.00144381518370534,0.00158770840907314,0.00211596357670873,0.0031847054340376,0.00161915819965631,0.0013669738968001,0.00096359980899806,0.00140732981755552,0.00155836792507112,0.00401863932737652,0.00410400488968896,0.00313481468967543,0.000932005661720567,0.00280192543943102,0.000716776850451457,0.00122655947225554,"cytosine","HMDB0000630",NA,NA,NA,NA,NA,NA,"71-30-7","DTXSID4044456","DTXCID2024456","315680409","   597","C00380","16040",NA,"Cytosine"
"dAMP",0.000737621399241021,0.00199429872875547,0.000787085572437003,0.00320665949011575,0.00213464414424851,0.00125817851372387,0.00263208579164835,0.00248741322718618,0.00272454284059122,0.00217351526926141,0.00235049105744894,0.00190219831652305,0.000393825045158717,0.00048354257068987,0.00050160879670051,0.000434337051737944,0.000479721095859389,0.00174056173714849,0.000820504026404032,0.00045574804894752,0.00213044500806283,0.000860884427175993,0.00348717931692099,0.00229275787168904,0.00261330124563744,0.00135496920336502,0.00362939590998676,0.00289916676199586,0.00268178607382519,0.000952462228489454,0.00166188360213131,0.000404545718930309,0.000993260930410232,0.00193634376172858,0.00285826375732391,0.00252880570275824,0.00262728584768357,0.00373213499472742,0.00399743527989264,0.0097406303013638,0.0120605251633393,0.00694939326308933,0.00706802104934518,0.00436737122144528,0.00967473903513389,0.00255395699663794,0.00163632878348672,0.00213268636708171,0.00497722870600439,0.00300145905861715,0.00198515098762728,0.00342232101708597,0.00527289340083657,0.00402855512352192,0.00258681480991242,0.00450210682008518,0.0156354659183825,0.0186557431539389,0.0137921242243973,0.00978160297849287,0.0114733575406823,0.0042609869346694,0.0102928637725378,0.00261028962074721,0.00394830312985007,"damp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deoxycytidine",0.000169463611078753,0.000191202902045764,0.00011654581675728,0.000378137390227676,0.000207453133338702,0.000265714076580448,0.000187353124216788,0.00015693694097963,0.000100071355649366,0.000201444183135268,0.000191631150282477,0.000190815392301937,1.03507969101878e-05,2.31423014346733e-05,1.39082110522024e-05,2.39159751289461e-05,1.34103517265924e-05,0.00020955669919657,0.000230789667879319,0.000119997163361842,0.00022628600364097,0.000309217090902201,0.000176468371846211,0.000196814772174244,0.000169547905709067,0.000201745872803237,0.000175097977197593,0.000109483393520318,0.000309597432231817,1.38401660213213e-05,3.15015603104031e-05,3.79398886999353e-06,1.25152651986384e-05,2.34915311038629e-05,4.21059627754412e-05,3.05070241864343e-05,4.23850901768906e-05,4.10520325592778e-05,7.0390444657184e-05,0.000232305485958277,0.000232738114108294,0.000119463332270194,0.000206470715803616,0.000111166135022253,0.000193758417037,0.000136998372677937,9.64368873390328e-05,7.35707127201565e-05,0.000101443891305862,0.000109493515590795,3.1072346652529e-05,3.62860381968294e-05,3.90366667355634e-05,4.74689263760057e-05,2.40072534395687e-05,3.75585327411634e-05,0.000205704456212514,0.000217545039384135,0.000138808335266338,0.000186545828550614,0.000133744153647075,0.000153818907527449,6.06508116313824e-05,0.000144013628198074,0.000164241262653144,"deoxycytidine","HMDB0000014","C00881","belongs to the class of organic compounds known as pyrimidine 2'-deoxyribonucleosides. Pyrimidine 2'-deoxyribonucleosides are compounds consisting of a pyrimidine linked to a ribose which lacks a hydroxyl group at position 2.","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","951-77-9",NA,NA,"  8145772",NA,"C00881","15698","DB02594","Deoxycytidine"
"dethiobiotin",5.98603373144428e-06,1.91222683512245e-06,1.66591022124494e-06,5.03583154678028e-07,8.25608097869936e-07,1.77922533957248e-06,0.198862557511903,0.132607869518206,0.130904114137372,0.173847604309302,0.213504855287721,0.178346602316989,9.86636356590708e-07,8.11351814235259e-07,4.24150317827456e-06,0,3.01497419784932e-07,7.18592743108808e-06,1.73224303035671e-06,0.000205395050169962,3.57943579491827e-06,5.42301918213101e-06,0.139039466220823,0.16359397931589,0.0890311021453067,0.00781188178625326,0.174184947350795,0.127345832062279,0.124012363347013,0,1.20306028755752e-06,1.2587044199301e-06,0,2.00856257736606e-06,3.54062396906729e-06,7.06770891668516e-06,6.73543535235981e-06,1.28423731795983e-06,1.40901940208295e-05,0.000265448784070624,0.00118694466279248,2.48978340263771e-05,0.000325304157507798,1.70512346796218e-05,0.000331481396572868,6.9980615504279e-06,2.40618956447886e-06,5.08551795605653e-06,7.96756214862394e-06,5.61493178518062e-06,2.37649753749439e-05,5.39013132655689e-06,1.50890353840017e-06,4.76129962614333e-06,2.16028110312586e-06,9.75444587331658e-06,0.000111849566303939,0.000140925540245009,1.02955633033104e-05,0.000140944353936989,2.16641869956592e-05,3.60183300460193e-06,3.06728279489048e-06,3.07421184441631e-06,5.45670878851685e-06,"dethiobiotin","HMDB0003581","C01909","belongs to the class of organic compounds known as medium-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","533-48-2",NA,NA," 26697261",NA,"C01909","42280","DB03775","Dethiobiotin"
"dihexose pk 1 (ex. sucrose, palatinose)",0.000922473274024523,0.00369183075538204,0.00155076553065183,0.00412946724193031,0.0038540001003678,0.00158728297789625,0.00223111853672788,0.00200108297017175,0.00287138174037719,0.00202841339539375,0.00135114588530899,0.00223466852945922,0.000407818693215377,0.000472868718752873,0.000569212901184241,0.000359906907733695,0.000502538695478234,0.0013239746212204,0.00193621835702665,0.00170886936394335,0.00298726949465506,0.0021304355914076,0.00695664856229313,0.00291150056644967,0.00450969998779342,0.00234294437042058,0.00441686600880935,0.00311983594365329,0.00413122179799241,0.000862605749214246,0.00114531895990773,0.00069168192246813,0.000805502375246161,0.000845752864695218,0.00178750038011608,0.00190079730228847,0.000935344394564709,0.00191512279618071,0.00176071121541361,0.0075866731087769,0.00946764085162567,0.00661555046620696,0.00709772278488229,0.00453978875524263,0.00788355539796274,0.00124562295146676,0.00126680927404526,0.00122157140191917,0.00110579805469604,0.00127944960909481,0.0020696418150011,0.00247099412627699,0.00302620218193182,0.00226307492411853,0.00176982238067189,0.00178565458164867,0.0142985868794821,0.0154347833001045,0.0141883518941937,0.00886724817997478,0.0125752303753494,0.00302742790927723,0.00188862989225726,0.00199845307507541,0.00238682103358987,"dihexose pk (ex. sucrose, palatinose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihexose pk 2 (ex. maltose, cellobiose)",0.000922473274024523,0.00369183075538204,0.00155076553065183,0.00412946724193031,0.0038540001003678,0.00158728297789625,0.00223111853672788,0.00200108297017175,0.00287138174037719,0.00202841339539375,0.00135114588530899,0.00223466852945922,0.000407818693215377,0.000472868718752873,0.000569212901184241,0.000359906907733695,0.000502538695478234,0.0013239746212204,0.00193621835702665,0.00170886936394335,0.00298726949465506,0.0021304355914076,0.00695664856229313,0.00291150056644967,0.00450969998779342,0.00234294437042058,0.00441686600880935,0.00311983594365329,0.00413122179799241,0.000862605749214246,0.00114531895990773,0.00069168192246813,0.000805502375246161,0.000845752864695218,0.00178750038011608,0.00190079730228847,0.000935344394564709,0.00191512279618071,0.00176071121541361,0.0075866731087769,0.00946764085162567,0.00661555046620696,0.00709772278488229,0.00453978875524263,0.00788355539796274,0.00124562295146676,0.00126680927404526,0.00122157140191917,0.00110579805469604,0.00127944960909481,0.0020696418150011,0.00247099412627699,0.00302620218193182,0.00226307492411853,0.00176982238067189,0.00178565458164867,0.0142985868794821,0.0154347833001045,0.0141883518941937,0.00886724817997478,0.0125752303753494,0.00302742790927723,0.00188862989225726,0.00199845307507541,0.00238682103358987,"dihexose pk (ex. maltose, cellobiose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihexose pk 3 (ex. trehalose)",0.000551900867747102,0.00514145800704637,0.0012281743951916,0.00506551821802156,0.00549578613555114,0.00152232269574864,0.00244225970201844,0.00342064050000234,0.00368909743316022,0.00270868846254154,0.00129602679916476,0.00308125405687324,0.000723260199159417,0.000692959685125061,0.00102325215832826,0.00068289453789087,0.000860463496710629,0.000980184136322057,0.00162891041144422,0.00151531289864764,0.0032338804316121,0.00124221160346852,0.00701219582167987,0.00260664005431899,0.00542757649886927,0.00183013219035963,0.00569823941443718,0.00322833827171105,0.00397833476449581,0.00180710876608325,0.00243190436346613,0.0011841463110915,0.00136915449555666,0.000945487041825945,0.0014304432814689,0.00141322502760512,0.00122407629631479,0.00260343212055214,0.00122958444784419,0.00693856496521645,0.00580672661906648,0.0065684111129401,0.00570291063479074,0.00416324397892337,0.00573598919644164,0.00175310962718716,0.00156581818141005,0.00185536777129066,0.00170764609662689,0.00224426947465289,0.000921694183316871,0.00212673958726754,0.0033786014589669,0.00303275261940696,0.0016673240335756,0.0018051168661775,0.0109151620428925,0.0130301764689669,0.0115717215600829,0.00740387941109011,0.00995806207097357,0.00386161087486572,0.00233012023877319,0.00291372061718704,0.00304738306950012,"dihexose pk (ex. trehalose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dopamine",3.46900895196732e-05,2.52730772941491e-05,3.88504815299137e-05,1.54882979951506e-05,2.53485535963737e-05,1.93396805666518e-05,4.18730500483154e-05,3.87305434067353e-05,3.49797944811524e-05,4.76502575770803e-05,1.78321517737708e-05,2.66030452380427e-05,0.00015952934281905,0.000246739825624438,0.000177338308966121,0.000153026856265307,0.000152551151264264,3.16682300800946e-05,2.32406482060235e-05,3.71344559493592e-05,2.71857010240354e-05,2.61660060617121e-05,2.63391939661831e-05,3.25601246972244e-05,2.2958349950026e-05,3.07563954292564e-05,2.1850295031314e-05,2.31477905756895e-05,2.60992543545886e-05,0.000155124814616844,0.000693773554894418,6.39595941686e-05,0.000183353759051541,3.30863694225763e-05,9.17590988846128e-05,5.48095906204945e-05,8.61392101675906e-05,8.58786774023975e-05,0.000126432261750222,6.71506602457494e-05,7.73705753310821e-05,4.79873159901907e-05,5.87425812812119e-05,2.58427315466697e-05,4.18032186369592e-05,0.000163430821489585,0.000100358223251133,9.45270490781273e-05,0.000238613433909393,0.000133277471371922,6.66061763123506e-05,3.70199839388619e-05,6.30619921242588e-05,5.03699557405351e-05,2.29038898477737e-05,5.66814897211245e-05,6.69147677343721e-05,6.29250322506508e-05,4.43695139237098e-05,3.78309065665435e-05,4.10782225140952e-05,8.78914201672356e-05,0.000212502256120244,4.82384822482786e-05,0.000125412704281885,"dopamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ectoine",1.80136244279542e-05,0.000133563212071109,0.000124527055497836,1.06755825221913e-05,9.65466303467911e-05,0.000127878637440228,0,3.76954986297926e-05,5.65470535495247e-05,0,0,7.02342735907011e-05,1.22063642769426e-05,2.79869214228907e-05,3.87722203333095e-05,2.64458090000245e-05,4.30689114379371e-05,1.64877656016842e-05,1.37728381867204e-05,0.000121866231178471,2.06455178983582e-05,2.32272717236082e-05,6.19637461196313e-05,0,3.34649363497988e-05,1.23908898743569e-05,3.26203383807932e-05,2.73986915899176e-05,0,4.34279404697207e-05,1.69796043748484e-05,3.11435361292277e-05,0,0.000118269058988543,4.51882372839429e-05,4.79545135987136e-05,6.84101244778747e-05,0.000181773919725661,2.41705892160977e-05,1.66509316104534e-05,8.58366090136681e-06,5.14784342927831e-05,8.80353968677006e-06,3.11571389434347e-05,6.23364608637551e-06,0,5.68522278655016e-05,4.16894477221848e-05,8.77813467186934e-07,6.48612968755116e-05,5.04367688466434e-07,7.06508107878313e-05,0.000112958257845663,0.000233550729089315,9.21843050016304e-05,2.77585346933182e-05,1.50706210659442e-05,2.00429597118669e-05,7.0310478890416e-05,4.13816732289122e-05,4.60397337256529e-05,3.58967569224547e-05,5.50950870452158e-05,3.64378694749807e-05,4.3004062552922e-06,"ectoine","HMDB0240650","C06231","belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","96702-03-3",NA,NA," 49693441",NA,"C06231","27592",NA,"Ectoine"
"ferulic acid",0.000374288233494376,0.00099672356300704,0.000342785243386675,0.00170965927655835,0.00107164686644999,0.000400978999718932,0.000523963010172055,0.000717322389557829,0.000719289086705677,0.000946848511788141,0.000428098837934835,0.000531327388703801,0.00029402408968403,0.00093893538080301,0.000449334837385474,0.000449509729513339,0.00039508341878262,0.000870155624913919,0.000415936482225784,0.000296869743286206,0.00114004359379074,0.000588642194658885,0.000952132511878826,0.000712417702411524,0.00109096702255169,0.000741453600490355,0.0010233866429158,0.000695958385096408,0.00113609408236081,0.000754127109531097,0.00184634593638561,0.000306519538085282,0.00087288573041742,0.000293357535320778,0.000263380245844696,0.00026137643453398,0.000338943616754621,0.000509720572251127,0.000439657698860945,0.00324914905932124,0.00291322239918625,0.00245362815305521,0.00238159479055094,0.00124641649746099,0.00279444275421822,0.000626374729094154,0.00112936835989155,0.00132761338436529,0.00138433083553356,0.001722679903328,0.000313670785204879,0.00036280437701323,0.000904516767712376,0.000413248757659269,0.000459453600650016,0.000453233972421172,0.00247918960609695,0.00369132402079269,0.00284874868686713,0.00197489967565553,0.00258714038608852,0.00133298790615629,0.00465555536887375,0.000923573898071524,0.00142181399639581,"ferulic acid","HMDB0000954",NA,NA,NA,NA,NA,NA,"1135-24-6","DTXSID5040673",NA,NA,NA,"C01494","17620","DB07767","Ferulic acid"
"fumaric acid",7.3181318758793e-05,0.00012381929128751,5.45055140968298e-05,9.65794274383718e-05,2.41195178897777e-05,0.000195670590581261,4.6314583740695e-05,3.34792958877905e-05,4.29417523925348e-05,4.43573767849068e-05,2.09811315156224e-05,3.67791546558366e-05,8.25138465692667e-06,1.09468485525319e-05,3.3218038930781e-05,2.52184379899553e-05,8.53759360050673e-06,1.46821253033623e-05,5.13474167934208e-05,1.83595745892733e-05,6.53613059497195e-05,4.73190146907713e-05,1.6798780816991e-05,5.11229061364232e-05,4.62221975466167e-05,3.74866377403099e-05,2.05232269992831e-05,1.46553963785804e-05,5.19785682213756e-05,2.47228096943147e-05,2.16016908578409e-05,1.65873187956555e-05,2.52928437352616e-05,5.02198563728001e-06,4.33056852323154e-05,6.10419043915379e-05,8.38669016499403e-06,7.30717478803231e-06,1.07289472829801e-05,0.000467802377488358,0.00130485517649617,0.000625568421982692,0.000516285323309343,0.000604564844913021,0.000609428541465136,7.89614196122214e-06,0,4.70705951629688e-06,0,4.16203228148532e-06,4.63622957028601e-05,1.71920843805011e-05,5.47025519789484e-06,4.21484085888768e-06,5.89802542918599e-06,1.44248534814279e-05,0.000505441406704749,0.000803532988972051,0.000721681349830296,0.000622543122012302,0.000347258634726639,1.0107820450353e-05,5.39646357327704e-06,1.03568805976062e-05,5.64760418340768e-06,"fumaric acid","HMDB0000134","C00122","belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","110-17-8","DTXSID3021518","DTXCID601518","315672400","444972","C00122","18012","DB01677","Fumaric acid"
"gluconic acid",0.00106934959348426,0.00727858271409412,0.00230840516439424,0.00531820020386652,0.00691152733339951,0.00326565501533211,0.00443087752568905,0.00600170855492925,0.00667609132893811,0.00482553675926019,0.00327718929197759,0.00684277211329536,0.00211364401419967,0.00195528792546132,0.00231700777090405,0.00208977256314242,0.00256622876225674,0.00171252146922119,0.00219904740281293,0.00248957899967696,0.00398740203786261,0.00188696096932143,0.0125334879661128,0.00420933438881848,0.0100667025156643,0.00304161019862691,0.00897224540141768,0.00639393572391912,0.00675914853727646,0.0029400124869961,0.00288694355624634,0.00158169414312189,0.00194779821646991,0.00280282183202225,0.00309251767455797,0.00358163713170889,0.00331155878926723,0.00512890823509482,0.00362269492372186,0.00925746699232631,0.00693131278225014,0.012811147995172,0.00759439368545778,0.00761975478294152,0.00753554711499784,0.00260801815930296,0.00401986588488399,0.00400521148075086,0.0029022552231418,0.00406210756349684,0.00189579244601074,0.00338485589766801,0.00635299833797545,0.00532162009743362,0.00367774064612643,0.003449324401476,0.0130829026370782,0.0156513200411625,0.0200365054472613,0.0140360792917659,0.0151367375844562,0.00629658533704345,0.00533671029043101,0.00403590542198683,0.00344318748716408,"gluconic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
