"","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"5-hydroxyindoleacetic acid","5-hydroxyindoleacetic acid","HMDB0000763","C05635","belongs to the class of organic compounds known as indole-3-acetic acid derivatives. Indole-3-acetic acid derivatives are compounds containing an acetic acid (or a derivative) linked to the C3 carbon atom of an indole.","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","54-16-0",NA,NA," 81058741",NA,"C05635","27823",NA,"5-Hydroxyindoleacetic acid"
"5-methylcytosine","5-methylcytosine","HMDB0002894","C02376","belongs to the class of organic compounds known as hydroxypyrimidines. These are organic compounds containing a hydroxyl group attached to a pyrimidine ring. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","554-01-8","DTXSID50203948","DTXCID80126439","315764278"," 65040","C02376","27551",NA,"5-Methylcytosine"
"5-oxo-proline and/or isomers","5-oxo-proline and/or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5-methylthioadenosine","5-methylthioadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adenine","adenine","HMDB0000034","C00147","belongs to the class of organic compounds known as 6-aminopurines. These are purines that carry an amino group at position 6. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring.","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","73-24-5","DTXSID6022557","DTXCID502557","315673252","   190","C00147","16708","DB00173","Adenine"
"adenosine","adenosine","HMDB0000050",NA,NA,NA,NA,NA,NA,"58-61-7","DTXSID1022558","DTXCID902558","315673253"," 60961","C00212","16335","DB00640","Adenosine"
"adenosine 5-monophosphoric acid","adenosine-monophosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agmatine sulfuric acid","agmatine sulfuric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanine","alanine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allantoin","allantoin","HMDB0000462","C01551","belongs to the class of organic compounds known as imidazoles. Imidazoles are compounds containing an imidazole ring, which is an aromatic five-member ring with two nitrogen atoms at positions 1 and 3, and three carbon atoms.","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","97-59-6","DTXSID3020043","DTXCID0043","315671055","   204","C01551","15676",NA,"Allantoin"
"alpha-aminoadipic acid","alpha-aminoadipic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginine","arginine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asparagine","asparagine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aspartic acid","aspartic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"azelaic acid","azelaic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"betaine","betaine","HMDB0000043","","belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA," 26697202",NA,NA,"41139","DB04455","Betaine"
"biliverdin","biliverdin","HMDB0001008","C00500","belongs to the class of organic compounds known as bilirubins. These are organic compounds containing a dicarboxylic acyclic tetrapyrrole derivative.","Organic compounds","Organoheterocyclic compounds","Tetrapyrroles and derivatives","Bilirubins","114-25-0",NA,NA,"  8145731",NA,"C00500","17033","DB02073","Biliverdin"
"caffeic acid","caffeic acid","HMDB0003501",NA,NA,NA,NA,NA,NA,"331-39-5","DTXSID5020231","DTXCID10231","315671222","  2518","C01481","17395","DB01880","Caffeic acid"
"carnosine","carnosine","HMDB0000033",NA,NA,NA,NA,NA,NA,"305-84-0",NA,NA,"  8143363",NA,"C00386","15727","DB11695","Carnosine"
"choline and or isomers","choline and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"citrulline","citrulline","HMDB0000904",NA,NA,NA,NA,NA,NA,"372-75-8",NA,NA,"  8144684",NA,"C00327","16349","DB00155","Citrulline"
"cysteic acid","cysteic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytidine","cytidine","HMDB0000089","C00475","belongs to the class of organic compounds known as pyrimidine nucleosides. Pyrimidine nucleosides are compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety.","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","","65-46-3",NA,NA,"  8144101",NA,"C00475","17562","DB02097","Cytidine"
"cytidine 2,3-cyclic mono-phosphoric acid","cytidine,3-cyclic mono-phosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytosine","cytosine","HMDB0000630",NA,NA,NA,NA,NA,NA,"71-30-7","DTXSID4044456","DTXCID2024456","315680409","   597","C00380","16040",NA,"Cytosine"
"dAMP","damp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deoxycytidine","deoxycytidine","HMDB0000014","C00881","belongs to the class of organic compounds known as pyrimidine 2'-deoxyribonucleosides. Pyrimidine 2'-deoxyribonucleosides are compounds consisting of a pyrimidine linked to a ribose which lacks a hydroxyl group at position 2.","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","951-77-9",NA,NA,"  8145772",NA,"C00881","15698","DB02594","Deoxycytidine"
"dethiobiotin","dethiobiotin","HMDB0003581","C01909","belongs to the class of organic compounds known as medium-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","533-48-2",NA,NA," 26697261",NA,"C01909","42280","DB03775","Dethiobiotin"
"dihexose pk 1 (ex. sucrose, palatinose)","dihexose pk (ex. sucrose, palatinose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihexose pk 2 (ex. maltose, cellobiose)","dihexose pk (ex. maltose, cellobiose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihexose pk 3 (ex. trehalose)","dihexose pk (ex. trehalose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dopamine","dopamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ectoine","ectoine","HMDB0240650","C06231","belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","96702-03-3",NA,NA," 49693441",NA,"C06231","27592",NA,"Ectoine"
"ferulic acid","ferulic acid","HMDB0000954",NA,NA,NA,NA,NA,NA,"1135-24-6","DTXSID5040673",NA,NA,NA,"C01494","17620","DB07767","Ferulic acid"
"fumaric acid","fumaric acid","HMDB0000134","C00122","belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","110-17-8","DTXSID3021518","DTXCID601518","315672400","444972","C00122","18012","DB01677","Fumaric acid"
"gluconic acid","gluconic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glucosaminic acid","glucosaminic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glucuronic acid","glucuronic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glucuronolactone","glucuronolactone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glutamic acid","glutamic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glutamine","glutamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glutathione","glutathione","HMDB0000125","C00051","belongs to the class of organic compounds known as peptides. Peptides are compounds containing an amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","70-18-8","DTXSID6023101","DTXCID903101","315673712","124886","C00051","16856","DB00143","Glutathione"
"glyceraldehyde and/or lactic acid","glyceraldehyde and/or lactic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glyceric acid and or isomers","glyceric acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycerol phosphoric acid","glycerol phosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycine","glycine","HMDB0000123","C00037","belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","56-40-6","DTXSID9020667","DTXCID90667","315671622","   750","C00037","15428","DB00145","Glycine"
"guanine","guanine","HMDB0000132","C00242","belongs to the class of organic compounds known as purines and purine derivatives. These are aromatic heterocyclic compounds containing a purine moiety, which is formed a pyrimidine-ring ring fused to an imidazole ring.","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","73-40-5","DTXSID9052476","DTXCID6031049","315685596","   764","C00242","16235","DB02377","Guanine"
"guanosine","guanosine","HMDB0000133","C00387","belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides","","118-00-3",NA,NA,"  8144918",NA,"C00387","16750","DB02857","Guanosine"
"guanosine 3,5-cyclic monophosphoric acid","guanosine,5-cyclic monophosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hexosamine","hexosamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hexose phosphate","hexose phosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histamine","histamine","HMDB0000870","C00388","belongs to the class of organic compounds known as 2-arylethylamines. These are primary amines that have the general formula RCCNH2, where R is an organic group.","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","51-45-6","DTXSID4023125","DTXCID103125","315673732","   774","C00388","18295","DB05381","Histamine"
"histidine","histidine","HMDB0000177",NA,NA,NA,NA,NA,NA,"71-00-1","DTXSID9023126","DTXCID503126","315673733","  6274","C00135","15971","DB00117","Histidine"
"histidinol","histidinol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"homoserine","homoserine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydroxycinnamic acid","hydroxycinnamic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hypoxanthine","hypoxanthine","HMDB0000157",NA,NA,NA,NA,NA,NA,"68-94-0","DTXSID8045983","DTXCID6025983","315681605","   790","C00262","17368","DB04076","Hypoxanthine"
"indole-3-acetic acid","indole-3-acetic acid","HMDB0000197","C00954","belongs to the class of organic compounds known as indole-3-acetic acid derivatives. Indole-3-acetic acid derivatives are compounds containing an acetic acid (or a derivative) linked to the C3 carbon atom of an indole.","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","87-51-4","DTXSID5020738","DTXCID70738","315671684","   802","C00954","16411","DB07950","Indole-3-acetic acid"
"inosine","inosine","HMDB0000195",NA,NA,NA,NA,NA,NA,"58-63-9","DTXSID2045993","DTXCID0025993","315681612","  6021","C00294","17596","DB04335","Inosine"
"isoleucine","isoleucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isomer of deoxycarnitine","isomer of deoxycarnitine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kynurenine","kynurenine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leucine and/or norleucine","leucine and/or norleucine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lumichrome","lumichrome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lysine","lysine","HMDB0000182","C00047","belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","56-87-1","DTXSID6023232","DTXCID403232","315673829","  5962","C00047","18019","DB00123","Lysine"
"maleamic acid","maleamic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"malonic acid","malonic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methyl indole-3-acetic acid","methyl indole-3-acetic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mevalonic acid","mevalonic acid","HMDB0000227","C00418","belongs to the class of organic compounds known as hydroxy fatty acids. These are fatty acids in which the chain bears a hydroxyl group.","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","150-97-0","DTXSID5040546","DTXCID3020546","315678202","439230","C00418","17710","DB03518","Mevalonic acid"
"N-acetyl-alanine","n-acetyl-alanine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-acetyl-glutamic acid","n-acetyl-glutamic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-acetyl-hexosamine","n-acetyl-hexosamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-acetyl-serine and/or isomers","n-acetyl-serine and/or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-acetylneuraminic acid","n-acetylneuraminic acid","HMDB0000230","C19910","belongs to the class of organic compounds known as n-acylneuraminic acids. These are neuraminic acids carrying an N-acyl substituent.","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA," 49693719",NA,NA,"45744","DB04265","N-Acetylneuraminic acid"
"N-acetylputrescine","n-acetylputrescine","HMDB0002064","C02714","belongs to the class of organic compounds known as carboximidic acids. These are organic acids with the general formula RC(=N)-OH (R=H, organic group).","Organic compounds","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","5699-41-2","DTXSID80205596","DTXCID10128087","315765903","122356","C02714","17768",NA,"N-Acetylputrescine"
"N-acetylserotonin","n-acetylserotonin","HMDB0001238","C00978","belongs to the class of organic compounds known as hydroxyindoles. These are organic compounds containing an indole moiety that carries a hydroxyl group.","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","1210-83-9","DTXSID00153106","DTXCID3075597","315713675","   903","C00978","17697","DB04275","N-Acetylserotonin"
"n-alpha-acetyl-asparagine","n-alpha-acetyl-asparagine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N-trimethyllysine","n-trimethyllysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAD+","nad+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicotinamide","nicotinamide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicotinamide mononucleotide","nicotinamide mononucleotide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicotinic acid and/or isonicotinic acid","nicotinic acid and/or isonicotinic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o-acetyl-serine","o-acetyl-serine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ophthalmic acid","ophthalmic acid","HMDB0005765","","belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","495-27-2",NA,NA,"223736346",NA,NA,"84058",NA,"Ophthalmic acid"
"ornithine","ornithine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orotic acid","orotic acid","HMDB0000226","C00295","belongs to the class of organic compounds known as pyrimidinecarboxylic acids. These are pyrimidines with a structure containing a carboxyl group attached to the pyrimidine ring.","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","65-86-1","DTXSID0025814","DTXCID005814","315675265","   967","C00295","16742","DB02262","Orotic acid"
"pantothenic acid","pantothenic acid","HMDB0000210","C00864","belongs to the class of organic compounds known as secondary alcohols. Secondary alcohols are compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl).","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","79-83-4","DTXSID9023417","DTXCID203417","315673987","  6613","C00864","46905",NA,"Pantothenic acid"
"phenylalanine","phenylalanine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pipecolic acid","pipecolic acid","HMDB0000070","C00408","belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","535-75-1",NA,NA,"  8143939",NA,NA,"17964",NA,"Pipecolic acid"
"proline","proline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"putrescine","putrescine","HMDB0001414",NA,NA,NA,NA,NA,NA,"110-60-1","DTXSID4041107","DTXCID2021107","315678513","  1045","C00134","17148","DB01917","Putrescine"
"pyridoxamine","pyridoxamine","HMDB0001431","C00534","belongs to the class of organic compounds known as pyridoxamine 5'-phosphates. These are heterocyclic aromatic compounds containing a pyridoxamine that carries a phosphate group at the 5'-position.","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","85-87-0","DTXSID6046929","DTXCID4026929","315682345","  1052","C00534","16410","DB11673","Pyridoxamine"
"pyridoxine","pyridoxine","HMDB0000239",NA,NA,NA,NA,NA,NA,"65-23-6","DTXSID4023541","DTXCID903541","315674093","  1054","C00314","16709","DB00165","Pyridoxine"
"pyruvic acid","pyruvic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quinic acid","quinic acid","HMDB0003072","C00296","belongs to the class of organic compounds known as quinic acids and derivatives. Quinic acids and derivatives are compounds containing a quinic acid moiety (or a derivative thereof), which is a cyclitol made up of a cyclohexane ring that bears four hydroxyl groups at positions 1,3.4, and 5, as well as a carboxylic acid at position 1.","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","77-95-2",NA,NA,"  8145610",NA,"C00296","17521",NA,"Quinic acid"
"riboflavin","riboflavin","HMDB0000244","C00255","belongs to the class of organic compounds known as flavins. Flavins are compounds containing a flavin (7,8-dimethyl-benzo[g]pteridine-2,4-dione) moiety, with a structure characterized by an isoalloaxzine tricyclic ring.","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","83-88-5","DTXSID8021777","DTXCID401777","315672623","493570","C00255","17015","DB00140","Riboflavin"
"S-(5-adenosyl)-homocysteine","s-(5-adenosyl)-homocysteine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-(5-adenosyl)-methionine","s-(5-adenosyl)-methionine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"salicylic acid","salicylic acid","HMDB0001895","C00805","belongs to the class of organic compounds known as salicylic acids. These are ortho-hydroxylated benzoic acids.","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","69-72-7","DTXSID7026368","DTXCID206368","315675491","   338","C00805","16914","DB00936","Salicylic acid"
"serine","serine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shikimic acid and or isomers","shikimic acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sn-glycero-3-phosphocholine","sn-glycero-3-phosphocholine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sphinganine","sphinganine","HMDB0000269","C00836","belongs to the class of organic compounds known as 1,2-aminoalcohols. These are organic compounds containing an alkyl chain with an amine group bound to the C1 atom and an alcohol group bound to the C2 atom.","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","764-22-7",NA,NA," 14717832",NA,"C00836","16566",NA,"Sphinganine"
"syringic acid","syringic acid","HMDB0002085","C10833","belongs to the class of organic compounds known as gallic acid and derivatives. Gallic acid and derivatives are compounds containing a 3,4,5-trihydroxybenzoic acid moiety.","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","530-57-4","DTXSID0060191","DTXCID2041337","315688310"," 10742","C10833","68329",NA,"Syringic acid"
"threonine/allothreonine","threonine/allothreonine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thymine","thymine","HMDB0000262","C00178","belongs to the class of organic compounds known as hydroxypyrimidines. These are organic compounds containing a hydroxyl group attached to a pyrimidine ring. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","65-71-4","DTXSID4052342","DTXCID4030914","315685466","  1135","C00178","17821","DB03462","Thymine"
"trigonelline","trigonelline","HMDB0000875","C01004","belongs to the class of organic compounds known as alkaloids and derivatives. These are naturally occurring chemical compounds that contain mostly basic nitrogen atoms. This group also includes some related compounds with neutral and even weakly acidic properties. Also some synthetic compounds of similar structure are attributed to alkaloids. In addition to carbon, hydrogen and nitrogen, alkaloids may also contain oxygen, sulfur and more rarely other elements such as chlorine, bromine, and phosphorus.","Organic compounds","Alkaloids and derivatives","","","535-83-1","DTXSID2026230","DTXCID906230","315675440","  5570","C01004","18123",NA,"Trigonelline"
