"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S"
"3-methyglutaric acid",289170.745117188,232588.854492188,115097.823242188,142665.713867188,152316.448242188,299150.213867188,78822.6904296875,82392.1513671875,70901.8779296875,89016.2216796875,85912.3466796875,92382.4951171875,23865.0966796875,41759.0146484375,15706.0615234375,18975.7529296875,26347.1357421875,146654.479492188,188633.104492188,170286.432617188,117799.791992188,150926.401367188,169010.573242188,71723.6591796875,87982.7451171875,70319.8388671875,99458.8076171875,77886.6123046875,76134.1513671875,25758.4130859375,19903.4873046875,6160.1376953125,26363.2373046875,39624.4130859375,69873.6123046875,58691.7607421875,110305.745117188,55788.8154296875,111774.963867188,1284073.05761719,1158905.55761719,760448.182617188,1287394.55761719,392476.151367188,1114731.05761719,96408.8232421875,83162.7060546875,75865.9169921875,97434.2294921875,87072.4873046875,66191.8310546875,63128.2998046875,62842.2294921875,81478.0888671875,62182.9013671875,121305.541992188,1184668.80761719,1747656.55761719,874102.307617188,1163684.30761719,601777.807617188,112320.026367188,132945.885742188,60792.5732421875,75898.7138671875
"3-methyl-histidine",275819.083251953,761809.677001953,233745.927001953,201954.020751953,388298.114501953,906340.489501953,3407033.80200195,4268322.80200195,4138255.80200195,2930993.30200195,2347732.55200195,4224879.30200195,465224.614501953,442723.802001953,379030.739501953,393942.489501953,411272.458251953,65376.0832519531,116176.848876953,565046.802001953,115553.489501953,61932.4895019531,8220072.30200195,1932302.17700195,5606203.30200195,535738.677001953,4181270.80200195,3623703.05200195,2837031.55200195,321856.520751953,183850.052001953,307980.177001953,144097.708251953,57202.7863769531,170102.567626953,208960.114501953,158281.442626953,273340.052001953,16289.5910644531,1177953.17700195,1623589.42700195,4020352.80200195,591084.364501953,1000414.17700195,720011.927001953,221521.864501953,416544.270751953,233929.708251953,177020.552001953,495291.302001953,39047.7863769531,113721.958251953,272499.489501953,258322.302001953,167089.177001953,66825.1613769531,1080480.67700195,1697596.92700195,4379186.80200195,1929771.92700195,1042388.30200195,529076.552001953,1238588.05200195,370760.958251953,161366.536376953
"4-acetamidobutanoic acid",2349986.42089844,3189794.17089844,4038667.42089844,411180.983398438,1858731.04589844,4886122.67089844,6419046.17089844,11131169.6708984,10144938.6708984,5664763.67089844,5514685.67089844,10955177.6708984,363313.733398438,404720.608398438,594208.983398438,330594.045898438,608912.295898438,1970421.17089844,891854.045898438,3073159.17089844,851024.170898438,1466843.17089844,14861460.6708984,4656268.67089844,18489796.6708984,1507173.92089844,11472403.6708984,7179215.17089844,6742363.67089844,587321.170898438,239872.545898438,598367.608398438,121500.530273438,8616889.67089844,5140746.67089844,10549929.6708984,2079032.67089844,2767607.42089844,8579243.67089844,67913128.6708984,41043964.6708984,114068664.670898,38739092.6708984,74598352.6708984,47606816.6708984,1587647.42089844,452718.545898438,651388.920898438,406264.795898438,1398180.17089844,1713956.67089844,1809055.67089844,2686514.92089844,2527045.17089844,4253335.17089844,9735351.67089844,33009102.6708984,66665260.6708984,82287512.6708984,169482528.670898,54472920.6708984,857809.358398438,3853269.42089844,737430.108398438,512520.420898438
"4-aminobutanoic acid",85100898.0039062,71412914.0039062,80199546.0039062,58418058.0039062,57694554.0039062,107444618.003906,49939598.0039062,46602762.0039062,46836790.0039062,45119638.0039062,47510754.0039062,49976110.0039062,65248650.0039062,53473162.0039062,70938402.0039062,66347610.0039062,78228426.0039062,49475354.0039062,61490810.0039062,53729902.0039062,68228826.0039062,71296186.0039062,68971402.0039062,39182634.0039062,48629542.0039062,59994638.0039062,43404918.0039062,40425010.0039062,49508374.0039062,57443162.0039062,56730462.0039062,41090170.0039062,57711086.0039062,910548.62890625,4804818.00390625,25430214.0039062,2436313.50390625,942001.50390625,460728.97265625,11442428.0039062,36766870.0039062,10352884.0039062,6082061.50390625,14039859.0039062,10300478.0039062,60511066.0039062,87444050.0039062,70010266.0039062,66027134.0039062,65972070.0039062,21947096.0039062,11924821.0039062,7810439.00390625,3285268.75390625,1399945.62890625,2123684.25390625,14980913.0039062,10292286.0039062,7617596.00390625,14350363.0039062,6101947.00390625,77862474.0039062,105984938.003906,74304434.0039062,72580274.0039062
"4-guanidinobutanoic acid",257502.165527344,431681.259277344,341360.353027344,312463.134277344,453895.884277344,526913.040527344,155058.087402344,95986.8530273438,152420.009277344,61306.6499023438,33159.2905273438,349272.603027344,167184.884277344,368702.415527344,165296.274902344,126797.024902344,193393.196777344,251949.946777344,215742.993652344,298496.384277344,291894.165527344,214230.821777344,186306.993652344,56702.3217773438,72760.0092773438,155000.228027344,117326.274902344,31068.0405273438,42048.7358398438,106494.478027344,136213.321777344,104593.821777344,52381.8452148438,244514.103027344,293495.259277344,517073.853027344,255905.259277344,465341.446777344,191789.603027344,493150.040527344,241642.821777344,169114.399902344,202896.774902344,356268.728027344,145023.681152344,101225.196777344,248142.196777344,179766.071777344,114018.259277344,149603.228027344,40676.3920898438,64640.4780273438,161337.040527344,238331.415527344,53805.0639648438,57499.3686523438,183610.321777344,867501.603027344,122329.524902344,616465.853027344,323233.228027344,71887.0717773438,234054.915527344,54931.7045898438,52228.7514648438
"4-hydroxy-2-quinolinecarboxylic acid",1277907.6126709,4975192.6126709,1991260.8626709,2735505.1126709,2546162.1126709,6027985.6126709,891029.550170898,1236614.2376709,766474.487670898,1052352.6126709,876940.862670898,1121506.2376709,2318143.8626709,1472594.3626709,1827538.4876709,1398638.3626709,1466168.6126709,1796101.9876709,2469047.3626709,1777424.4876709,2187476.3626709,1812471.6126709,3309694.3626709,852130.300170898,1838892.2376709,965874.237670898,1132202.7376709,772194.237670898,1270451.7376709,1433413.7376709,1295689.8626709,420926.800170898,899475.362670898,1168256.3626709,1875429.8626709,3248886.1126709,1772618.9876709,1404048.6126709,2243158.6126709,24805774.6126709,31199582.6126709,27822902.6126709,33493862.6126709,24509036.6126709,27649784.6126709,3428198.1126709,3617452.3626709,2660363.1126709,3165358.1126709,4547491.6126709,2198566.6126709,1271692.6126709,1854652.4876709,2614464.6126709,1802974.8626709,1863582.3626709,28130308.6126709,33890004.6126709,36235108.6126709,38455340.6126709,23226612.6126709,4309709.6126709,5628336.1126709,2572210.6126709,2124208.6126709
"4-hydroxyproline",11680681.1855469,13109096.1855469,10817030.1855469,11094571.1855469,5917845.18554688,25370706.1855469,5743596.68554688,4907536.18554688,6363765.68554688,5220389.18554688,6390738.18554688,6897863.68554688,14946040.1855469,10430468.1855469,14848224.1855469,12069808.1855469,18748074.1855469,9224856.18554688,7949473.68554688,6985873.68554688,8946674.18554688,10061738.1855469,10849641.1855469,5172152.18554688,5799355.18554688,7647454.68554688,4572239.18554688,4165687.68554688,5305915.18554688,10691556.1855469,9038749.18554688,9117343.18554688,13473829.1855469,1745311.31054688,3439914.43554688,13877165.1855469,2449414.43554688,2516037.18554688,1146253.56054688,16660241.1855469,29877004.1855469,24050488.1855469,15729800.1855469,24254278.1855469,17304934.1855469,13289790.1855469,15049028.1855469,14224981.1855469,14973942.1855469,16593868.1855469,10806089.1855469,5418821.68554688,5476365.68554688,3748710.68554688,3789453.68554688,3002037.43554688,26412612.1855469,31826632.1855469,29819834.1855469,34293920.1855469,17568352.1855469,15342034.1855469,21974940.1855469,15088174.1855469,14597955.1855469
"4-imidazoleacetic acid",103405.700561523,59932.5833740234,146179.520874023,30843.3802490234,43349.4075927734,86997.6771240234,24605.3802490234,20201.3626708984,7252.84802246094,20816.9505615234,10857.9700927734,25671.0911865234,56446.0989990234,32608.0130615234,93514.0521240234,41203.0482177734,44283.7083740234,314885.442749023,78831.4739990234,147502.958374023,77829.3333740234,190446.255249023,96574.7005615234,8453.94860839844,24534.2786865234,141211.786499023,10593.5970458984,5704.16833496094,7190.48083496094,74396.1771240234,58510.8489990234,30479.9193115234,107967.934936523,147537.098999023,1172733.66149902,2133537.78649902,385398.973999023,318056.661499023,376461.598999023,4207367.78649902,4727078.28649902,3277835.28649902,3901602.53649902,2713448.28649902,4241588.28649902,0,0,60421.1302490234,87479.5364990234,77833.7943115234,1865653.41149902,1747387.78649902,1481253.78649902,752526.911499023,491960.848999023,754790.911499023,4030594.03649902,5195350.28649902,3544560.03649902,4359761.28649902,2418862.53649902,31262.7474365234,543601.036499023,22485.5169677734,0
"4-pyridoxic acid",102671.047973633,103294.407348633,493745.790161133,40254.0479736328,94844.8760986328,172872.712036133,27934.2042236328,57981.1651611328,35634.3682861328,15278.4483642578,14181.6866455078,69396.6026611328,166227.665161133,79002.8057861328,227216.493286133,142608.680786133,87412.1182861328,342987.415161133,83724.9073486328,343881.727661133,63299.8526611328,184480.852661133,207583.540161133,6609.77355957031,51089.3214111328,136477.587036133,34301.1573486328,25530.3917236328,8689.18176269531,176830.962036133,54346.8682861328,93712.7979736328,96488.9932861328,403209.071411133,1148518.35266113,5434394.10266113,383039.258911133,729206.852661133,405358.946411133,4193602.60266113,4965963.10266113,8148547.60266113,4106960.10266113,8955397.10266113,3829614.35266113,29783.3682861328,52182.9659423828,194074.899536133,77061.5792236328,255538.727661133,1876434.22766113,1833099.35266113,3826758.10266113,2102893.35266113,1200697.47766113,766064.602661133,4238477.10266113,5400436.10266113,9676202.10266113,11533449.1026611,5969108.60266113,67587.4854736328,1390228.85266113,69679.7510986328,0
"5-hydroxyindoleacetic acid",548870.488647461,302815.769897461,439096.269897461,81700.8167724609,123240.660522461,1097961.92614746,41391.5941162109,68237.9027099609,72901.4027099609,38895.5042724609,63282.0042724609,72141.7542724609,49410.7308349609,28380.9652099609,98109.6761474609,9002.77575683594,51059.6527099609,262314.457397461,309760.801147461,548167.613647461,272612.488647461,320221.426147461,124506.488647461,42540.3870849609,62191.9573974609,176320.223022461,62154.0667724609,40686.3636474609,47793.7230224609,46373.7464599609,74187.8948974609,17914.0667724609,37717.9183349609,61811.7933349609,236718.707397461,628522.676147461,52122.6995849609,147009.707397461,103869.043334961,603513.051147461,6881409.80114746,71057.2073974609,1478843.55114746,605098.863647461,1828778.05114746,372273.988647461,341760.269897461,737824.051147461,370550.988647461,811399.738647461,675249.051147461,351923.769897461,376915.582397461,535832.113647461,519945.488647461,143356.801147461,1229010.05114746,1362029.55114746,49817.1683349609,927973.363647461,1308499.67614746,452882.644897461,718938.926147461,291902.426147461,158101.394897461
"5-methylcytosine",35291.2200317383,58730.7122192383,104094.173156738,3972.85675048828,39436.0911254883,152641.813781738,0,3338.18585205078,5344.75225830078,0,6921.81866455078,14875.3098754883,25482.6497192383,29457.3567504883,32598.2356567383,41390.6887817383,27954.4583129883,20959.6633911133,18214.3294067383,65637.9934692383,24057.0325317383,13717.2337036133,12126.0344848633,0,4214.28643798828,0,9253.60675048828,5236.42510986328,0,33952.8176879883,18420.4719848633,19888.9739379883,8354.95050048828,166608.673156738,108597.360656738,423545.798156738,111035.040344238,156684.595031738,146247.313781738,265763.766906738,238859.782531738,643711.704406738,222054.204406738,1342263.76690674,196868.954406738,105370.470031738,623249.891906738,118274.173156738,100237.626281738,366599.548156738,186340.001281738,81663.3840942383,288679.735656738,252842.720031738,171340.516906738,90852.8372192383,225681.438781738,482755.454406738,445741.454406738,1743891.64190674,304602.579406738,164523.938781738,236862.704406738,128650.235656738,58692.4465942383
"5-oxo-proline and/or isomers",178423.926025391,379517.160400391,335485.316650391,110135.332275391,197969.957275391,484289.816650391,0,20269.4709472656,0,0,16521.2814941406,21570.0119628906,266519.129150391,241151.191650391,141009.722900391,248407.129150391,136840.457275391,565905.941650391,108129.644775391,182959.597900391,233470.191650391,172764.957275391,34625.9533691406,11527.1379394531,14388.6887207031,51837.8166503906,11633.6623535156,12649.8684082031,0,225874.238525391,48713.9377441406,318728.160400391,59612.6330566406,124150.840087891,68691.8869628906,620974.129150391,26997.7326660156,41969.0080566406,86100.8166503906,512852.566650391,827927.754150391,2305764.19165039,261303.129150391,1370989.44165039,445159.316650391,565830.754150391,4767165.69165039,238723.176025391,301052.441650391,1576748.94165039,191002.441650391,43143.1291503906,279389.410400391,234397.129150391,163264.160400391,89187.7775878906,542076.254150391,1640813.94165039,1586088.06665039,3313406.94165039,931376.504150391,1748433.19165039,732722.941650391,4552500.19165039,525460.754150391
"5-methylthioadenosine",2817845.71343994,7998625.71343994,3678451.71343994,2590939.21343994,12233796.2134399,5481206.21343994,16003960.2134399,62818142.2134399,45353074.2134399,16323274.2134399,15410692.2134399,86518390.2134399,59948446.2134399,60400902.2134399,54546742.2134399,60374126.2134399,58769342.2134399,2328519.21343994,2879063.71343994,11085993.2134399,4801595.71343994,1536936.96343994,75343086.2134399,16798850.2134399,58710686.2134399,9737826.21343994,73985158.2134399,41287434.2134399,18094218.2134399,61067126.2134399,11874669.2134399,62726162.2134399,15541624.2134399,904850.900939941,1730606.33843994,4285010.21343994,1078317.08843994,4192774.21343994,292094.182189941,11533267.2134399,15435341.2134399,39098098.2134399,11447421.2134399,33248706.2134399,13602107.2134399,5651065.71343994,23600112.2134399,5145948.71343994,4200941.21343994,11223526.2134399,964868.463439941,1423083.96343994,5800846.71343994,6106980.71343994,1205367.46343994,592878.900939941,15322879.2134399,18257386.2134399,40862658.2134399,48708746.2134399,34785274.2134399,16364379.2134399,17658604.2134399,9805141.21343994,4963959.21343994
