"","id","group","Alcohols and polyols","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Dicarboxylic acids and derivatives","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"16","exudate.EOD.Medicago.1.442.1","exudate.EOD.Medicago",0.0152218120226039,0.00139155037215127,0.454369294643357,0.000133427492193657,5.66798724506239e-05,0.00116988079760307,0.000147228574717612,0.133047091847227,0.000216425336868787,0.000438287238659873,0.393808321802167
"17","exudate.EOD.Medicago.2.444.1","exudate.EOD.Medicago",0.0172709435381581,0.00256118909851386,0.406703085070307,0.000727310436363242,0.00012727022972861,0.00111752828374892,0.000283143691902431,0.13989775134414,0.000255084594817452,0.000651101994334749,0.430405591717986
"18","exudate.EOD.Medicago.3.449.1","exudate.EOD.Medicago",0.00693971464856894,0.00120083703729581,0.414366772827186,1.1239127365872e-05,4.66291700997124e-05,0.000528125720654656,0.000111216708984654,0.168923660955045,0.000420877107436355,0.000638793301625861,0.406812133395737
"19","exudate.EOD.TxCtrl.1.441.1","exudate.EOD.TxCtrl",0.000791373712470759,0.000454458651953621,0.842589476362717,0.00170405817630866,0,7.25337962233754e-05,0.00166000924364188,0.0591878229738883,0,0,0.0935402670827963
"20","exudate.EOD.TxCtrl.2.450.1","exudate.EOD.TxCtrl",0.00184687104233221,0.00115118742145696,0.598907054895539,0.00383792229637574,0.000208927879142678,9.36895484349271e-05,0.000242255950040281,0.0804772170720169,0,0.000927013581753031,0.312307860312909
"21","exudate.EOD.TxCtrl.3.459.1","exudate.EOD.TxCtrl",0.000873264347786667,0.00056180079433592,0.693324635899513,0.0039658516598094,0.00010071948666826,5.76110581091427e-05,0.000187711324981724,0.0529557747139071,0,0.00113505745636309,0.246837573258526
"22","exudate.EOD.TxCtrl.4.460.1","exudate.EOD.TxCtrl",0.000461582817713657,6.46882483657558e-05,0.786397044787334,0.00321297104167883,0.000104763056381983,0,0.000241129019327578,0.0341020795537108,0,0.000977150433447834,0.174438591042039
"23","exudate.EON.Arabidopsis.1.451.2","exudate.EON.Arabidopsis",0.00649945066073117,0.000213357057236652,0.355390205634113,0.000853320685142258,0.000458581129362981,0.000327834363208849,0.000269954956677692,0.296154630484499,8.70726930751186e-05,0.000989179708053625,0.338756412627899
"24","exudate.EON.Arabidopsis.2.452.2","exudate.EON.Arabidopsis",0.00287308193917608,0.000385369099922401,0.354744882646174,0.000937388951978011,0.0010628710891433,0.000194951868862528,0.000221361780901162,0.235238328838306,0.000237138451609358,0.00116863878295839,0.402935986550969
"25","exudate.EON.Arabidopsis.3.453.2","exudate.EON.Arabidopsis",0.0049647296653979,5.94587315958075e-05,0.357343182143994,0.000561728561438945,0.00110356905934336,0.000132513191788656,0.000444569173406376,0.237796218309211,0.000167700101509815,0.00113261645223576,0.396293714610079
"26","exudate.EON.Arabidopsis.4.454.2","exudate.EON.Arabidopsis",0.00620688732901209,4.59409173649786e-05,0.283031272191396,0.000309099662303587,0.000390928718499467,0.000410285206050078,0.00068175473031737,0.353518065983718,7.10079230280326e-05,0.000589900185872529,0.354744857152437
"27","exudate.EON.Arabidopsis.5.455.2","exudate.EON.Arabidopsis",0.0021930180939712,1.99756111152598e-05,0.453206214351054,0.000420177020516981,0.000497538159230576,0.00014805553776907,0.000155867644493627,0.26994198474298,6.03159434601107e-05,0.00131060561110668,0.272046247284303
"28","exudate.EON.Arabidopsis.6.456.2","exudate.EON.Arabidopsis",0.00393970636555135,3.43002245268889e-05,0.356423771877142,0.000421134153152017,0.000455748491353809,0.000342610326942709,0.00086633925637895,0.24593999454866,0.000167616437937806,0.000537092342747971,0.390871685975607
"29","exudate.EON.Arabidopsis.7.457.2","exudate.EON.Arabidopsis",0.00857189580766878,0.000306732778699119,0.25225203061163,0.000870287914950475,0.000839439997323176,0.000377615597498496,0.000529120123914541,0.351451176096204,7.41155788677321e-05,0.000632618091027155,0.384094967402216
"30","exudate.EON.Arabidopsis.8.458.2","exudate.EON.Arabidopsis",0.0103802988526744,0.000237415383308553,0.169602969110391,0.00101199375783558,0.000307766597736935,0.000632696394979178,0.000487445344941668,0.409202938820201,6.30054131250694e-05,0.000869302557895203,0.407204167766911
"31","exudate.EON.Brachy.1.433.2","exudate.EON.Brachy",0.00290646190635115,0.00995961481963436,0.460106290583355,0.000124832773134336,3.90211784029395e-05,0.00110563118813315,0.00511507686233231,0.411567553956096,0.000233839376680888,0.000129676564327601,0.108712000791552
"32","exudate.EON.Brachy.2.434.2","exudate.EON.Brachy",0.00143145836804901,0.0239770234554795,0.537178493848662,0.000305888601857231,2.547122704789e-05,0.000298042797118018,0.01771863433006,0.308881221435938,0.000442975094798666,0.000480048179228781,0.109260742661761
"33","exudate.EON.Brachy.3.436.2","exudate.EON.Brachy",0.00153109705812898,0.0151620376261357,0.552193829709346,0.000502129918108666,0.0001390839703081,0.000309865231239225,0.00975952570718263,0.320522743452226,0.000694568979566768,0.000549958727523089,0.0986351596202352
"34","exudate.EON.Brachy.4.437.2","exudate.EON.Brachy",0.0020015872801723,0.0144558400728506,0.444342525161134,0.000109087866498114,0,0.00100246744324391,0.0107717830377676,0.422171162686829,0.000295155942603193,8.07218427643581e-05,0.104769668666137
"35","exudate.EON.Brachy.5.438.2","exudate.EON.Brachy",0.00199577852888969,0.00583843847508044,0.478884374792895,5.36296738106791e-05,4.5887066484025e-05,0.00182353960062928,0.0110871401159945,0.378600782369532,0.000202722510804303,9.87714045886177e-05,0.121368935461292
"36","exudate.EON.Brachy.6.439.2","exudate.EON.Brachy",0.00176208687708408,0.0180945382815009,0.506501296964686,0.000533108051951433,0,0.000924868555850727,0.0224668582229211,0.340299984023201,0.000308465827439796,0.000111269503477065,0.108997523691888
"37","exudate.EON.Brachy.7.440.2","exudate.EON.Brachy",0.00330402016894982,0.0336824027585107,0.567796261305572,0.00114711413089423,0,0.00493139116505658,0.00653757096075346,0.0511372509250643,0,0.000506778856988972,0.33095720972821
"38","exudate.EON.Medicago.1.442.2","exudate.EON.Medicago",0.0114974594771341,0.00100343021034224,0.413935778380734,0.000233819721656164,5.13438955613949e-05,0.0018022492074701,0.000115129476218221,0.211427998673832,0.000385758645633125,0.000166252967915921,0.359380779343502
"39","exudate.EON.Medicago.2.444.2","exudate.EON.Medicago",0.00963618948648218,0.00212310585620249,0.325049262184169,8.0245654500264e-05,0.000101730802619797,0.000613232404998074,0.000232007624113799,0.0847261921200951,5.49422611708601e-05,3.31597598857017e-05,0.577349931845763
"40","exudate.EON.Medicago.3.449.2","exudate.EON.Medicago",0.00510386545036457,0.00168469437035547,0.301750454185136,6.55573689321773e-05,8.2323808516432e-05,0.000261757952182368,0.000124256169494623,0.201895076989404,0.000528873193195925,0.000231121197584758,0.488272019314834
"41","exudate.EON.TxCtrl.1.441.2","exudate.EON.TxCtrl",0.000603109559180241,0.000156539837591657,0.821473472302456,0.000667618408510786,0,3.65293316312847e-05,0.000204172245294883,0.042507839576431,0,0.00010559622235087,0.134245122516554
"42","exudate.EON.TxCtrl.2.450.2","exudate.EON.TxCtrl",0.000463157780746074,0.000247733794144413,0.823835925850261,0.00199163754337359,0,4.9230896273026e-05,0.000271566950108777,0.0458995318780128,0,0.000108577694373386,0.127132637612707
"43","exudate.EON.TxCtrl.3.459.2","exudate.EON.TxCtrl",0.00219203077220992,0.000181034620810474,0.537407267555764,0.00237143307464855,0.000157245187253638,0,0.000620303517510991,0.0649649246549004,0,0,0.392105760616902
"44","exudate.EON.TxCtrl.4.460.2","exudate.EON.TxCtrl",0.00119343734516807,7.79254750277045e-05,0.657636425497604,0.0028003794668747,0,0,0.000329013001198852,0.0554308469712602,0,0,0.282531972242867
