"","id","group","Alkaloids and derivatives","Benzenoids","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"11","exudate.EOD.Brachy.3.436.1","exudate.EOD.Brachy",0.000422475664568397,0.000209019552115158,0.0410978419129703,0.277699007577491,0.00783676984403426,0.00557958356003608,0.554573733872975,0.112581568015809
"12","exudate.EOD.Brachy.4.437.1","exudate.EOD.Brachy",0.000314246570036063,0.000131887508425998,0.0537403366648197,0.262480411400295,0.0195943217150677,0.00452500873428932,0.600534342937832,0.0586794444692347
"13","exudate.EOD.Brachy.5.438.1","exudate.EOD.Brachy",0.000182191369428779,0.000113439234216538,0.0510905315206841,0.321668180065913,0.0174087911857662,0.00407052953995509,0.524635080671225,0.0808312564128112
"14","exudate.EOD.Brachy.6.439.1","exudate.EOD.Brachy",0.000475714358514482,9.12022422915297e-05,0.0598570348684352,0.201605341726884,0.0123195732634044,0.00557618848660732,0.643816214659093,0.0762587303947701
"15","exudate.EOD.Brachy.7.440.1","exudate.EOD.Brachy",0.000373067514162844,0.000177319544215295,0.00412061682795781,0.665118241224716,0.0303226520033807,0.0209636097563468,0.11430245933862,0.1646220337906
"16","exudate.EOD.Medicago.1.442.1","exudate.EOD.Medicago",0.152430423951071,0.000133427492193657,0.00569349260329081,0.454425974515808,0.00139155037215127,0.0152218120226039,0.134802488458208,0.235900830584674
"17","exudate.EOD.Medicago.2.444.1","exudate.EOD.Medicago",0.167103709303086,0.000727310436363242,0.00500546931949165,0.406830355300036,0.00256118909851386,0.0172709435381581,0.141949525314126,0.258551497690225
"18","exudate.EOD.Medicago.3.449.1","exudate.EOD.Medicago",0.116263077653817,1.1239127365872e-05,0.00949413852847498,0.414413401997286,0.00120083703729581,0.00693971464856894,0.17020179668631,0.281475794320881
"19","exudate.EOD.TxCtrl.1.441.1","exudate.EOD.TxCtrl",0.00115026358155322,0.00170405817630866,0.000464004401160523,0.842589476362717,0.000454458651953621,0.000791373712470759,0.0609203660137536,0.0919259991000825
"20","exudate.EOD.TxCtrl.2.450.1","exudate.EOD.TxCtrl",0.0932864843250307,0.00383792229637574,0.000639930668568151,0.599115982774681,0.00115118742145696,0.00184687104233221,0.0817401761522452,0.21838144531931
"21","exudate.EOD.TxCtrl.3.459.1","exudate.EOD.TxCtrl",0.00767626207458239,0.0039658516598094,0.00105318613141793,0.693425355386181,0.00056180079433592,0.000873264347786667,0.0543361545533611,0.238108125052525
"22","exudate.EOD.TxCtrl.4.460.1","exudate.EOD.TxCtrl",0.00312634068666113,0.00321297104167883,0.00057252485851024,0.786501807843716,6.46882483657558e-05,0.000461582817713657,0.0353203590064862,0.170739725496868
"23","exudate.EON.Arabidopsis.1.451.2","exudate.EON.Arabidopsis",0.00075108797091859,0.000853320685142258,0.0108007212793831,0.355848786763476,0.000213357057236652,0.00649945066073117,0.29774159951244,0.327291676070673
"24","exudate.EON.Arabidopsis.2.452.2","exudate.EON.Arabidopsis",7.70307359041089e-05,0.000937388951978011,0.0252450741799427,0.355807753735317,0.000385369099922401,0.00287308193917608,0.236823281271028,0.377851020086732
"25","exudate.EON.Arabidopsis.3.453.2","exudate.EON.Arabidopsis",0.000125341313061914,0.000561728561438945,0.0173162542126635,0.358446751203338,5.94587315958075e-05,0.0049647296653979,0.239505917126641,0.379019819185863
"26","exudate.EON.Arabidopsis.4.454.2","exudate.EON.Arabidopsis",0.000449027799418653,0.000309099662303587,0.0110872010630968,0.283422200909896,4.59409173649786e-05,0.00620688732901209,0.355200006105958,0.34327963621295
"27","exudate.EON.Arabidopsis.5.455.2","exudate.EON.Arabidopsis",0.000122560184440968,0.000420177020516981,0.00366042102170188,0.453703752510284,1.99756111152598e-05,0.0021930180939712,0.27155651353635,0.26832358202162
"28","exudate.EON.Arabidopsis.6.456.2","exudate.EON.Arabidopsis",0.000122350741854438,0.000421134153152017,0.0125195860231118,0.356879520368495,3.43002245268889e-05,0.00393970636555135,0.24768603647473,0.378397365648578
"29","exudate.EON.Arabidopsis.7.457.2","exudate.EON.Arabidopsis",0.000909427501916785,0.000870287914950475,0.0108162239392023,0.253091470608953,0.000306732778699119,0.00857189580766878,0.352990529908644,0.372443431539965
"30","exudate.EON.Arabidopsis.8.458.2","exudate.EON.Arabidopsis",0.000951422063965439,0.00101199375783558,0.00752272174563667,0.169910735708128,0.000237415383308553,0.0103802988526744,0.411192383118017,0.398793029370434
"31","exudate.EON.Brachy.1.433.2","exudate.EON.Brachy",0.000369331212357904,0.000124832773134336,0.025037783067642,0.460145311761758,0.00995961481963436,0.00290646190635115,0.417917938570889,0.0835387258882334
"32","exudate.EON.Brachy.2.434.2","exudate.EON.Brachy",0.000155220800585543,0.000305888601857231,0.0217793963995103,0.53720396507571,0.0239770234554795,0.00143145836804901,0.327377946742345,0.0877691005564641
"33","exudate.EON.Brachy.3.436.2","exudate.EON.Brachy",0.00017054608555868,0.000502129918108666,0.017344719382358,0.552332913679654,0.0151620376261357,0.00153109705812898,0.331142093118171,0.0818144631318853
"34","exudate.EON.Brachy.4.437.2","exudate.EON.Brachy",0.000370229936380972,0.000109087866498114,0.0215362027350054,0.444342525161134,0.0144558400728506,0.0020015872801723,0.434026135010605,0.0831583919373542
"35","exudate.EON.Brachy.5.438.2","exudate.EON.Brachy",0.000320164015002511,5.36296738106791e-05,0.0166988641029454,0.478930261859379,0.00583843847508044,0.00199577852888969,0.391610233490744,0.104552629854148
"36","exudate.EON.Brachy.6.439.2","exudate.EON.Brachy",0.000260639083846741,0.000533108051951433,0.0220741672535934,0.506501296964686,0.0180945382815009,0.00176208687708408,0.36380298030545,0.0869711831818872
"37","exudate.EON.Brachy.7.440.2","exudate.EON.Brachy",0.000419881144423758,0.00114711413089423,0.00250610813660922,0.567796261305572,0.0336824027585107,0.00330402016894982,0.0631129919078633,0.328031220447177
"38","exudate.EON.Medicago.1.442.2","exudate.EON.Medicago",0.0870826778764785,0.000233819721656164,0.00693814750659254,0.413987122276296,0.00100343021034224,0.0114974594771341,0.213511630325436,0.265745712606065
"39","exudate.EON.Medicago.2.444.2","exudate.EON.Medicago",0.0620650606307986,8.0245654500264e-05,0.00188842327761378,0.325150992986789,0.00212310585620249,0.00963618948648218,0.0856045919090926,0.513451390198521
"40","exudate.EON.Medicago.3.449.2","exudate.EON.Medicago",0.0710011056961337,6.55573689321773e-05,0.00861156674477057,0.301832777993652,0.00168469437035547,0.00510386545036457,0.202512212308665,0.409188220067126
"41","exudate.EON.TxCtrl.1.441.2","exudate.EON.TxCtrl",0.00467493121324585,0.000667618408510786,0.00161952929092548,0.821473472302456,0.000156539837591657,0.000603109559180241,0.042854137375708,0.127950662012382
"42","exudate.EON.TxCtrl.2.450.2","exudate.EON.TxCtrl",0.00225233378599967,0.00199163754337359,0.00158633890449431,0.823835925850261,0.000247733794144413,0.000463157780746074,0.046328907418768,0.123293964922213
"43","exudate.EON.TxCtrl.3.459.2","exudate.EON.TxCtrl",0.0341288807577316,0.00237143307464855,0.00263909712334577,0.537564512743018,0.000181034620810474,0.00219203077220992,0.0655852281724114,0.355337782735825
"44","exudate.EON.TxCtrl.4.460.2","exudate.EON.TxCtrl",0.00774521590912563,0.0028003794668747,0.00169596745763075,0.657636425497604,7.79254750277045e-05,0.00119343734516807,0.0557598599724591,0.27309078887611
